stage	request_id	repeat	repeat_total	duration_ms	duration_s	success	turns	quality
pro_warm_up	27	6	50	1960.212	1.960212	False	1	0.133
pro_warm_up	27	7	50	1637.471	1.637471	False	1	0.133
pro_warm_up	27	8	50	2480.833	2.480833	False	1	0.133
pro_warm_up	28	1	50	13321.068	13.321068	False	1	0.133
pro_warm_up	28	2	50	22172.026	22.172026	False	1	0.445
pro_warm_up	28	3	50	15408.693	15.408693	False	1	0.438
pro_warm_up	28	4	50	17793.894	17.793894	False	1	0.428
pro_warm_up	28	5	50	18197.495	18.197495	False	1	0.473
pro_warm_up	28	6	50	8720.799	8.720799	False	1	0.133
pro_warm_up	28	7	50	19480.590	19.480590	False	1	0.394
pro_warm_up	28	8	50	15650.718	15.650718	False	1	0.133
pro_warm_up	28	9	50	10785.595	10.785595	False	1	0.133
pro_warm_up	28	10	50	16333.996	16.333996	False	1	0.414
pro_warm_up	29	1	50	12151.888	12.151888	False	1	0.133
pro_warm_up	29	2	50	13085.852	13.085852	False	1	0.133
pro_warm_up	29	3	50	11074.836	11.074836	False	1	0.133
pro_warm_up	29	4	50	12329.683	12.329683	False	1	0.133
pro_warm_up	30	1	50	17143.809	17.143809	False	1	0.432
pro_warm_up	30	2	50	3807.353	3.807353	False	1	0.133
pro_warm_up	30	3	50	1647.281	1.647281	False	1	0.133
pro_warm_up	30	4	50	10559.419	10.559419	False	1	0.133
pro_warm_up	30	5	50	17223.788	17.223788	False	1	0.384
pro_warm_up	30	6	50	13183.143	13.183143	False	1	0.133
pro_warm_up	31	1	50	21146.660	21.146660	False	1	0.432
pro_warm_up	31	2	50	12940.929	12.940929	False	1	0.438
pro_warm_up	31	3	50	21463.685	21.463685	False	1	0.435
pro_warm_up	31	4	50	3878.260	3.878260	False	1	0.133
pro_warm_up	31	5	50	10257.603	10.257603	False	1	0.133
pro_warm_up	31	6	50	1629.936	1.629936	False	1	0.133
pro_warm_up	32	1	50	3179.492	3.179492	False	1	0.133
pro_warm_up	32	2	50	16550.799	16.550799	False	1	0.388
pro_warm_up	32	3	50	17272.863	17.272863	False	1	0.374
pro_warm_up	32	4	50	15869.511	15.869511	False	1	0.133
pro_warm_up	32	5	50	3044.500	3.044500	False	1	0.133
pro_warm_up	32	6	50	2805.399	2.805399	False	1	0.133
pro_warm_up	32	7	50	9942.526	9.942526	False	1	0.133
pro_warm_up	33	1	50	4088.657	4.088657	False	1	0.133
pro_warm_up	33	2	50	13240.980	13.240980	False	1	0.133
pro_warm_up	33	3	50	11372.581	11.372581	False	1	0.133
pro_warm_up	33	4	50	17349.003	17.349003	False	1	0.421
pro_warm_up	33	5	50	11858.564	11.858564	False	1	0.133
pro_warm_up	33	6	50	1908.083	1.908083	False	1	0.133
pro_warm_up	33	7	50	19138.880	19.138880	False	1	0.41
pro_warm_up	33	8	50	16501.778	16.501778	False	1	0.133
pro_warm_up	33	9	50	2236.216	2.236216	False	1	0.133
pro_warm_up	34	1	50	3944.583	3.944583	False	1	0.133
pro_warm_up	34	2	50	17813.071	17.813071	False	1	0.425
pro_warm_up	34	3	50	16035.481	16.035481	False	1	0.133
pro_warm_up	34	4	50	16063.237	16.063237	False	1	0.448
pro_warm_up	34	5	50	19066.371	19.066371	False	1	0.432
pro_warm_up	34	6	50	14947.919	14.947919	False	1	0.359
pro_warm_up	34	7	50	17577.973	17.577973	True	1	0.807
pro_warm_up	34	8	50	2667.664	2.667664	False	1	0.133
pro_warm_up	34	9	50	2508.961	2.508961	False	1	0.133
pro_warm_up	34	10	50	13794.353	13.794353	False	1	0.467
pro_warm_up	34	11	50	5927.603	5.927603	False	1	0.133
pro_warm_up	34	12	50	11240.073	11.240073	False	1	0.133
pro_warm_up	35	1	50	17327.422	17.327422	False	1	0.133
pro_warm_up	35	2	50	3236.362	3.236362	False	1	0.133
pro_warm_up	35	3	50	2232.303	2.232303	False	1	0.133
pro_warm_up	35	4	50	2017.765	2.017765	False	1	0.133
pro_warm_up	36	1	50	12949.551	12.949551	False	1	0.133
pro_warm_up	36	2	50	12953.073	12.953073	False	1	0.133
pro_warm_up	36	3	50	16408.462	16.408462	True	1	0.777
pro_warm_up	36	4	50	16409.748	16.409748	False	1	0.445
pro_warm_up	36	5	50	18675.932	18.675932	False	1	0.431
pro_warm_up	36	6	50	23039.448	23.039448	False	1	0.473
pro_warm_up	36	7	50	19425.905	19.425905	False	1	0.397
pro_warm_up	36	8	50	16268.463	16.268463	False	1	0.461
pro_warm_up	37	1	50	11404.212	11.404212	False	1	0.133
pro_warm_up	37	2	50	22017.663	22.017663	False	1	0.399
pro_warm_up	37	3	50	16400.806	16.400806	False	1	0.419
pro_warm_up	37	4	50	17829.417	17.829417	False	1	0.419
pro_warm_up	37	5	50	12856.585	12.856585	False	1	0.133
pro_warm_up	37	6	50	12164.132	12.164132	False	1	0.362
pro_warm_up	37	7	50	25056.684	25.056684	False	1	0.442
pro_warm_up	37	8	50	14514.242	14.514242	False	1	0.391
pro_warm_up	37	9	50	10132.079	10.132079	False	1	0.133
pro_warm_up	37	10	50	10060.467	10.060467	False	1	0.133
pro_warm_up	37	11	50	19244.572	19.244572	False	1	0.445
pro_warm_up	37	12	50	17677.227	17.677227	False	1	0.398
pro_warm_up	38	1	50	14484.540	14.484540	False	1	0.408
pro_warm_up	38	2	50	18021.439	18.021439	False	1	0.483
pro_warm_up	38	3	50	3577.639	3.577639	False	1	0.133
pro_warm_up	38	4	50	14987.807	14.987807	False	1	0.133
pro_warm_up	38	5	50	14487.895	14.487895	False	1	0.392
pro_warm_up	38	6	50	16673.049	16.673049	False	1	0.133
pro_warm_up	38	7	50	14122.889	14.122889	False	1	0.397
pro_warm_up	39	1	50	14364.071	14.364071	False	1	0.387
pro_warm_up	39	2	50	18524.306	18.524306	False	1	0.461
pro_warm_up	39	3	50	13927.257	13.927257	False	1	0.439
pro_warm_up	39	4	50	10137.498	10.137498	False	1	0.133
pro_warm_up	39	5	50	12969.616	12.969616	False	1	0.133
pro_warm_up	39	6	50	13692.709	13.692709	False	1	0.488
pro_warm_up	39	7	50	2497.052	2.497052	False	1	0.133
pro_warm_up	39	8	50	19970.889	19.970889	False	1	0.372
pro_warm_up	39	9	50	13746.909	13.746909	False	1	0.423
pro_warm_up	39	10	50	15559.464	15.559464	False	1	0.384
pro_warm_up	39	11	50	16496.585	16.496585	False	1	0.429
pro_warm_up	40	1	50	14346.386	14.346386	True	1	0.795
pro_warm_up	40	2	50	16425.608	16.425608	False	1	0.133
pro_warm_up	40	3	50	13249.870	13.249870	False	1	0.133
pro_warm_up	40	4	50	17064.355	17.064355	False	1	0.473
pro_warm_up	40	5	50	2748.097	2.748097	False	1	0.133
pro_warm_up	40	6	50	13346.713	13.346713	False	1	0.478
pro_warm_up	41	1	50	7708.473	7.708473	False	1	0.133
pro_warm_up	41	2	50	16769.238	16.769238	True	1	0.879
pro_warm_up	41	3	50	20119.256	20.119256	False	1	0.448
pro_warm_up	41	4	50	16564.768	16.564768	False	1	0.529
pro_warm_up	41	5	50	1589.288	1.589288	False	1	0.133
pro_warm_up	41	6	50	11177.378	11.177378	False	1	0.133
pro_warm_up	41	7	50	16336.890	16.336890	False	1	0.133
pro_warm_up	42	1	50	21387.801	21.387801	False	1	0.44
pro_warm_up	42	2	50	5035.002	5.035002	False	1	0.133
pro_warm_up	42	3	50	2799.341	2.799341	False	1	0.133
pro_warm_up	42	4	50	16729.813	16.729813	False	1	0.464
pro_warm_up	42	5	50	19149.841	19.149841	False	1	0.388
pro_warm_up	42	6	50	2319.092	2.319092	False	1	0.133
pro_warm_up	42	7	50	12674.104	12.674104	False	1	0.133
